alias,order_id,feature_index,transformed_feature_name,feature_value,coefficient,contribution,sum_contributions,intercept,z_manual,probability_manual,probability_spark,absolute_difference
D,c2bb89b5c1dd978d507284be78a04cb2,1,product_count_filled,1.0,-0.24362428603741526,-0.24362428603741526,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,2,seller_count_filled,1.0,-0.8792444875416756,-0.8792444875416756,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,3,total_price_filled,199.98,-5.094028284054563e-05,-0.010187037762452314,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,4,total_freight_filled,122.88,0.0002663690733722605,0.03273143173598337,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,5,average_item_price_filled,99.99,0.0003734099167293281,0.03733725757376551,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,6,total_weight_g_filled,30000.0,1.1962538929378245e-05,0.35887616788134735,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,7,total_volume_cm3_filled,52500.0,1.2205708204268208e-06,0.0640799680724081,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,8,freight_ratio_filled,0.6145,-0.029071253413406172,-0.017864285222538093,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,9,purchase_year_filled,2017.0,0.18165138806580747,366.39084972873366,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,10,purchase_month_filled,5.0,-0.03705781372399258,-0.18528906861996292,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,11,purchase_day_of_week_filled,3.0,0.012784271227794557,0.03835281368338367,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,12,purchase_hour_filled,22.0,0.005718761662951632,0.1258127565849359,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,13,estimated_delivery_days_filled,141.0,-0.04923113821824474,-6.941590488772508,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,15,customer_state_ohe_SP,1.0,-0.37351341686896,-0.37351341686896,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,44,main_seller_state_ohe_MG,1.0,-0.2283490362824515,-0.2283490362824515,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
D,c2bb89b5c1dd978d507284be78a04cb2,71,main_category_ohe_housewares,1.0,-0.17959971843264252,-0.17959971843264252,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
